"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 08 21:41:08 IST 2020","Sun Nov 08 21:41:08 IST 2020","1","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","Hook","Hook",""
"passed","Sun Nov 08 21:41:30 IST 2020","Sun Nov 08 21:41:31 IST 2020","378","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","When I see the header Cars and side navigator","When I see the header Cars and side navigator",""
"skipped","Sun Nov 08 21:50:56 IST 2020","Sun Nov 08 21:50:56 IST 2020","0","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select Optional Equipment as Four-zone climate system","When I select Optional Equipment as Four-zone climate system",""
"passed","Sun Nov 08 21:50:00 IST 2020","Sun Nov 08 21:50:01 IST 2020","357","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","Then ""Cars"" section should fly out","Then ""Cars"" section should fly out",""
"passed","Sun Nov 08 21:41:31 IST 2020","Sun Nov 08 21:41:33 IST 2020","2220","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","When I click on ""Cars""","When I click on ""Cars""",""
"passed","Sun Nov 08 21:43:37 IST 2020","Sun Nov 08 21:43:37 IST 2020","1","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","Hook","Hook",""
"passed","Sun Nov 08 21:41:35 IST 2020","Sun Nov 08 21:41:35 IST 2020","1","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","Hook","Hook",""
"passed","Sun Nov 08 21:43:34 IST 2020","Sun Nov 08 21:43:36 IST 2020","1485","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","When I click on ""side navigator""","When I click on ""side navigator""",""
"passed","Sun Nov 08 21:43:36 IST 2020","Sun Nov 08 21:43:37 IST 2020","1062","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","Then ""side navigator"" section should fly out","Then ""side navigator"" section should fly out",""
"passed","Sun Nov 08 21:44:48 IST 2020","Sun Nov 08 21:44:48 IST 2020","2","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","Hook","Hook",""
"skipped","Sun Nov 08 21:50:56 IST 2020","Sun Nov 08 21:50:56 IST 2020","1","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","Then I click on Summary","Then I click on Summary",""
"passed","Sun Nov 08 21:44:37 IST 2020","Sun Nov 08 21:44:43 IST 2020","5760","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select Optional Equipment as Four-zone climate system","When I select Optional Equipment as Four-zone climate system",""
"passed","Sun Nov 08 21:52:21 IST 2020","Sun Nov 08 21:52:24 IST 2020","3009","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select ""Momentum"" car style","When I select ""Momentum"" car style",""
"passed","Sun Nov 08 21:52:01 IST 2020","Sun Nov 08 21:52:02 IST 2020","1129","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","When I click on ""side navigator""","When I click on ""side navigator""",""
"passed","Sun Nov 08 21:40:23 IST 2020","Sun Nov 08 21:40:24 IST 2020","608","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","When I click on ""side navigator""","When I click on ""side navigator""",""
"passed","Sun Nov 08 21:42:30 IST 2020","Sun Nov 08 21:42:30 IST 2020","1","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","Hook","Hook",""
"passed","Sun Nov 08 21:41:35 IST 2020","Sun Nov 08 21:41:35 IST 2020","75","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","Then ""side navigator"" section should fly out","Then ""side navigator"" section should fly out",""
"passed","Sun Nov 08 21:49:59 IST 2020","Sun Nov 08 21:49:59 IST 2020","214","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","When I see the header Cars and side navigator","When I see the header Cars and side navigator",""
"passed","Sun Nov 08 21:50:56 IST 2020","Sun Nov 08 21:50:56 IST 2020","2","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","Hook","Hook",""
"passed","Sun Nov 08 21:42:28 IST 2020","Sun Nov 08 21:42:30 IST 2020","2506","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","Then I click on Summary","Then I click on Summary",""
"passed","Sun Nov 08 21:40:35 IST 2020","Sun Nov 08 21:40:38 IST 2020","3412","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select ""Momentum"" car style","When I select ""Momentum"" car style",""
"passed","Sun Nov 08 21:40:53 IST 2020","Sun Nov 08 21:41:30 IST 2020","37353","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","Given I am on the volvo home page","Given I am on the volvo home page",""
"passed","Sun Nov 08 21:51:58 IST 2020","Sun Nov 08 21:51:59 IST 2020","611","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","When I see the header Cars and side navigator","When I see the header Cars and side navigator",""
"passed","Sun Nov 08 21:40:22 IST 2020","Sun Nov 08 21:40:23 IST 2020","1002","","Validating Volvo home page headers: Validating the header links","","Validating Volvo home page headers: Validating the header links","When I click on ""Cars""","When I click on ""Cars""",""
"passed","Sun Nov 08 21:43:53 IST 2020","Sun Nov 08 21:44:04 IST 2020","11458","","Validating Cars purchase: Validating Mild Hybrids V60 Car","","Validating Cars purchase: Validating Mild Hybrids V60 Car","When I select Wheels and select ""wheel type""","When I select Wheels and select ""wheel type""",""
